id,ident,name,type,latitude_deg,longitude_deg,iso_country,country_name,iso_region,iata_code
2771,FABE,Bisho Airport,medium_airport,-32.897099,27.2791,ZA,South Africa,ZA-EC,BIY
2772,FABL,Bram Fischer International Airport,large_airport,-29.092699,26.302401,ZA,South Africa,ZA-FS,BFN
2775,FACT,Cape Town International Airport,large_airport,-33.97403,18.604333,ZA,South Africa,ZA-WC,CPT
2779,FAEL,King Phalo Airport,large_airport,-33.035599,27.825899,ZA,South Africa,ZA-EC,ELS
2781,FAFB,Ficksburg Sentraoes Airport,medium_airport,-28.82309913635254,27.908899307250977,ZA,South Africa,ZA-FS,FCB
2782,FAGC,Grand Central Airport,medium_airport,-25.986299514799995,28.1401004791,ZA,South Africa,ZA-GT,GCJ
2783,FAGG,George Airport,large_airport,-34.0056,22.378902,ZA,South Africa,ZA-WC,GRJ
2784,FAGM,Rand Airport,medium_airport,-26.2425,28.151199,ZA,South Africa,ZA-GT,QRA
2789,FAHR,Harrismith Airport,medium_airport,-28.2351,29.106199,ZA,South Africa,ZA-FS,HRS
2793,FAKD,P C Pelser Airport,medium_airport,-26.871099,26.718,ZA,South Africa,ZA-NW,KXE
2794,FAKM,Kimberley Airport,large_airport,-28.805401,24.764872,ZA,South Africa,ZA-NC,KIM
2795,FAKN,Kruger Mpumalanga International Airport,large_airport,-25.383327,31.105325,ZA,South Africa,ZA-MP,MQP
2798,FAKU,Johan Pienaar Airport,medium_airport,-27.45669937133789,23.411399841308594,ZA,South Africa,ZA-NC,KMH
2799,FAKZ,Kleinsee Airport,medium_airport,-29.6884002686,17.093999862700002,ZA,South Africa,ZA-NC,KLZ
2800,FALA,Lanseria International Airport,large_airport,-25.938964,27.926642,ZA,South Africa,ZA-GT,HLA
2801,FALC,Lime Acres Finsch Mine Airport,medium_airport,-28.36009979248047,23.43910026550293,ZA,South Africa,ZA-NC,LMR
2805,FALW,Langebaanweg Airport,medium_airport,-32.968898773199996,18.1602993011,ZA,South Africa,ZA-WC,SDB
2806,FALY,Ladysmith Airport,medium_airport,-28.5816993713,29.7497005463,ZA,South Africa,ZA-NL,LAY
2808,FAMD,Malamala Airport,medium_airport,-24.816866,31.544085,ZA,South Africa,ZA-MP,AAM
2809,FAMG,Margate Airport,medium_airport,-30.8574008942,30.343000412,ZA,South Africa,ZA-NL,MGH
2812,FAMM,Mmabatho International Airport,medium_airport,-25.798400878900004,25.548000335699996,ZA,South Africa,ZA-NW,MBD
2815,FAMU,Mkuze Airport,medium_airport,-27.626101,32.0443,ZA,South Africa,ZA-NL,MZQ
2816,FANC,Newcastle Airport,medium_airport,-27.7705993652,29.976900100699996,ZA,South Africa,ZA-NL,NCS
2819,FAOH,Oudtshoorn Airport,medium_airport,-33.6069984436,22.188999176,ZA,South Africa,ZA-WC,OUH
2820,FAPE,Chief Dawid Stuurman International Airport,large_airport,-33.989715,25.617353,ZA,South Africa,ZA-EC,PLZ
